raw_audio, filtered_data, frequency, frequency_magnitude, frequency_magnitude, threshold
503.609863, 21.250961, 17822.265625, 2619.361187, 9197.025124, 620.454545
311.609863, 13.151094, 18066.406250, 2974.724865, 8101.871570, 620.454545
152.609863, 3.320705, 18310.546875, 3087.645004, 11376.903927, 620.454545
-128.390137, -5.367850, 18554.687500, 3824.142874, 7955.664589, 620.454545
-296.390137, -15.134115, 18798.828125, 3909.608820, 7419.399580, 620.454545
-415.390137, -21.207451, 19042.968750, 6041.514059, 10334.830571, 620.454545
-415.390137, -26.598400, 19287.109375, 4714.816359, 6355.704980, 620.454545
-264.390137, -29.188572, 19531.250000, 3790.018089, 4007.153326, 620.454545
56.609863, -29.682701, 19775.390625, 14396.801283, 20816.114641, 620.454545
311.609863, -29.520171, 20019.531250, 8027.679824, 10649.045409, 620.454545
507.609863, -32.125503, 20263.671875, 2933.456939, 4541.224103, 620.454545
695.609863, -34.575728, 20507.812500, 13591.411148, 13319.239618, 620.454545
571.609863, -37.814296, 20751.953125, 10963.846065, 13836.637129, 620.454545
439.609863, -43.658653, 20996.093750, 17464.966495, 17728.602984, 620.454545
215.609863, -44.945337, 21240.234375, 8377.239182, 10541.072751, 620.454545
-200.390137, -46.125990, 21484.375000, 14728.783211, 15573.569577, 620.454545
-516.390137, 307.542846, 21728.515625, 6941.090039, 8266.718164, 620.454545
-512.390137, 275.454069, 21972.656250, 10155.558045, 10485.700643, 620.454545
-328.390137, 163.010121, 22216.796875, 4949.897516, 3705.353912, 620.454545
-152.390137, -75.615967, 22460.937500, 6051.216309, 6781.341181, 620.454545
183.609863, -188.848119, 22705.078125, 9532.922274, 7975.482458, 620.454545
311.609863, -365.017529, 22949.218750, 4755.102488, 6713.348629, 620.454545
311.609863, -322.679681, 23193.359375, 11349.686231, 13142.971446, 620.454545
247.609863, -147.624321, 23437.500000, 32031.055688, 33097.704166, 620.454545
152.609863, 107.945710, 23681.640625, 24603.639459, 26638.346147, 620.454545
56.609863, 304.617359, 23925.781250, 14204.129331, 14641.524616, 620.454545
-7.390137, 414.425775, 24169.921875, 34392.058351, 34607.623645, 620.454545
-7.390137, 441.496384, 24414.062500, 2784.489985, 2938.643063, 620.454545
56.609863, 189.635668, 24658.203125, 9308.020639, 7616.771165, 620.454545
