voltages, filtered
0.030138, 0.078046
0.030138, 0.027129
0.055925, 0.076990
0.080907, -0.004139
0.080907, -0.034531
0.080907, -0.040662
0.080907, -0.047464
0.080907, -0.053853
0.080907, -0.062367
0.055925, -0.072659
0.055925, -0.031238
0.055925, 0.010943
0.055925, 0.053675
0.080907, 0.045347
0.055925, 0.061149
0.030138, 0.075545
0.030138, 0.041965
0.030138, 0.059150
0.030138, 0.002268
0.030138, -0.054088
0.055925, -0.056755
0.030138, -0.059850
-0.021437, -0.012536
0.030138, -0.014847
0.030138, -0.015239
0.030138, -0.015983
0.080907, -0.015265
0.055925, 0.038273
0.030138, 0.014737
-0.021437, -0.009684
-0.073012, 0.044298
-0.021437, -0.002346
-0.021437, 0.002450
0.030138, 0.030620
0.030138, 0.008563
-0.073012, -0.041192
-0.073012, -0.039489
-0.021437, 0.015782
-0.021437, 0.070795
-0.021437, 0.022683
-0.021437, -0.026171
-0.021437, -0.024271
0.030138, -0.071491
-0.019020, -0.018191
-0.021437, 0.033969
-0.021437, 0.036449
-0.021437, -0.014033
-0.021437, 0.038838
-0.021437, -0.009421
-0.021437, -0.061298
-0.073012, -0.011740
-0.021437, -0.011240
-0.021437, -0.011101
-0.021437, -0.012452
-0.021437, 0.036294
-0.021437, 0.082084
-0.021437, 0.077646
-0.021437, 0.022310
-0.020631, -0.034090
0.030138, -0.037714
0.030138, -0.040758
-0.021437, 0.003800
0.030138, 0.022519
-0.073012, -0.059404
-0.099606, 0.007322
-0.124588, 0.027522
-0.124588, -0.004276
-0.124588, -0.083174
-0.124588, -0.040596
-0.124588, 0.003705
-0.124588, 0.002080
-0.124588, -0.001428
-0.124588, 0.022403
-0.073012, 0.047487
-0.072207, 0.022411
-0.073012, 0.008586
-0.073012, 0.022133
-0.073012, 0.023780
-0.072207, 0.051775
-0.021437, 0.055129
-0.021437, 0.006684
-0.021437, -0.041812
-0.073012, -0.038703
-0.122170, -0.034695
-0.073012, -0.031784
0.030138, -0.027965
0.030138, -0.024314
0.030138, -0.023093
0.055925, -0.019712
0.055925, -0.019198
0.030138, -0.017840
0.030138, 0.007204
0.055925, 0.031367
0.030138, 0.030582
0.030138, 0.028894
-0.072207, 0.027162
-0.072207, 0.024371
-0.021437, 0.023960
-0.020631, -0.001178
0.030138, -0.001476
0.055925, -0.000114
0.055925, -0.000381
-0.020631, 0.024171
-0.019020, -0.000403
-0.021437, -0.024665
-0.021437, -0.022451
0.030138, -0.019953
0.055925, -0.017761
-0.021437, -0.015862
-0.072207, 0.011096
-0.021437, -0.009931
-0.099606, -0.056328
-0.112500, -0.001717
-0.021437, 0.004547
-0.021437, 0.010477
-0.073012, 0.066233
-0.021437, 0.046485
-0.099606, 0.025457
-0.124588, -0.021777
-0.099606, -0.068071
-0.073012, -0.011708
-0.021437, -0.006349
-0.073012, 0.049371
-0.092353, 0.050337
-0.124588, -0.050815
-0.173745, -0.048993
-0.118947, 0.005805
-0.124588, 0.008292
-0.124588, 0.006984
-0.202756, 0.006525
-0.176968, 0.003548
-0.122170, 0.055263
-0.021437, 0.006349
-0.021437, 0.003672
-0.072207, -0.001274
-0.073012, -0.003906
-0.073012, -0.006053
-0.073012, -0.010068
-0.021437, -0.011437
-0.021437, -0.063654
-0.021437, -0.013515
-0.021437, -0.014031
-0.072207, -0.013235
-0.021437, -0.010608
-0.021437, -0.005694
-0.021437, -0.002509
-0.112500, 0.000775
-0.124588, 0.005583
-0.099606, 0.063472
-0.073012, 0.071662
-0.099606, 0.029453
-0.118947, 0.086854
-0.112500, -0.007698
-0.099606, -0.025142
-0.099606, -0.042037
-0.112500, -0.037224
-0.099606, -0.031866
-0.073012, -0.025852
-0.021437, -0.021664
-0.021437, -0.019532
-0.099606, -0.020097
-0.124588, -0.021767
-0.073012, 0.027755
-0.021437, 0.025175
-0.021437, 0.019288
0.030138, 0.012318
-0.020631, 0.005240
-0.021437, -0.003271
-0.072207, 0.038230
-0.021437, 0.027156
-0.021437, 0.018463
-0.021437, -0.043089
-0.021437, -0.101139
-0.021437, -0.060440
-0.021437, 0.035137
-0.021437, 0.028480
-0.021437, 0.022827
0.030138, 0.044350
0.030138, 0.041321
0.030138, 0.012685
-0.021437, 0.011454
-0.021437, 0.036128
-0.021437, 0.011182
0.030138, 0.012502
0.080907, -0.087292
0.030138, -0.085381
-0.021437, -0.034357
0.030138, -0.031421
0.030138, 0.022916
-0.021437, 0.050273
-0.021437, 0.052937
-0.021437, -0.020301
-0.073012, -0.016554
-0.073012, -0.016558
-0.073012, -0.012587
-0.073012, 0.042862
-0.073012, 0.072782
-0.021437, 0.000875
-0.021437, -0.043805
-0.021437, 0.010585
0.030138, -0.060991
-0.021437, -0.066765
-0.021437, 0.029527
0.030138, 0.038589
-0.021437, -0.005009
0.030138, 0.053044
0.055925, -0.016898
0.030138, -0.037061
-0.021437, -0.006123
-0.073012, 0.025422
-0.021437, 0.082841
-0.073012, 0.037621
-0.112500, 0.018668
-0.118947, -0.012662
-0.122170, -0.060127
-0.112500, -0.005204
-0.099606, -0.012167
-0.099606, -0.014647
-0.073012, -0.097029
-0.073012, -0.074363
-0.124588, -0.025855
-0.124588, 0.067996
-0.124588, 0.062345
-0.099606, 0.005577
-0.073012, -0.000509
-0.073012, -0.006074
-0.073012, -0.010800
-0.021437, 0.035568
-0.073012, 0.032917
-0.021437, 0.029995
0.030138, 0.030271
0.030138, -0.020625
-0.021437, 0.030289
-0.021437, 0.031375
0.030138, 0.035016
-0.021437, -0.052355
-0.021437, -0.060575
-0.072207, -0.029487
-0.072207, 0.000192
-0.021437, -0.019115
-0.099606, -0.034504
-0.099606, -0.026257
-0.092353, -0.009802
-0.073012, -0.007551
-0.072207, -0.018907
-0.021437, -0.005882
-0.072207, 0.019830
-0.073012, 0.067570
-0.073012, 0.064363
-0.112500, -0.019490
-0.099606, -0.049973
-0.099606, -0.004190
-0.073012, 0.039999
0.030138, 0.032942
0.055925, 0.077330
-0.020631, 0.016284
-0.021437, 0.006357
-0.021437, -0.051738
0.030138, -0.008065
0.055925, -0.014531
0.055925, -0.022324
0.055925, -0.028356
0.055925, -0.030704
0.055925, -0.032728
0.030138, -0.034441
0.030138, -0.034547
0.030138, 0.018710
-0.021437, 0.020204
-0.073012, 0.021812
-0.021437, -0.025190
-0.021437, -0.020123
-0.021437, -0.015539
0.030138, 0.039248
-0.073012, 0.092713
-0.118947, 0.044043
-0.124588, -0.004086
-0.112500, 0.051096
-0.099606, 0.054192
-0.073012, 0.004990
-0.021437, 0.004731
-0.021437, 0.003932
-0.021437, -0.049725
-0.021437, -0.052288
-0.073012, -0.054722
-0.021437, -0.056517
0.080907, -0.057768
0.082519, -0.009759
0.106695, -0.011949
0.080907, -0.014286
0.080907, 0.034108
0.080907, -0.016029
0.030138, -0.013760
0.030138, 0.038758
-0.021437, -0.007411
0.030138, 0.048660
0.055925, 0.081335
0.080907, 0.063091
-0.021437, 0.019459
0.030138, -0.023214
0.080907, 0.039287
0.080907, -0.003731
0.055925, -0.035418
0.055925, -0.036210
0.030138, -0.032416
0.030138, -0.017889
0.030138, -0.000507
0.030138, -0.000088
0.030138, 0.026088
0.055925, 0.024707
0.055925, -0.027973
0.030138, -0.031933
-0.124588, -0.039845
-0.124588, -0.024083
-0.072207, -0.003225
0.030138, -0.010356
0.030138, -0.016554
0.030138, 0.026677
0.030138, -0.032185
0.030138, 0.013533
-0.021437, 0.058665
-0.072207, 0.054799
-0.021437, 0.001988
-0.021437, 0.004070
-0.021437, 0.055750
-0.021437, 0.006550
-0.073012, 0.010708
-0.092353, -0.034442
-0.099606, -0.027773
-0.124588, 0.029372
-0.099606, -0.042010
-0.021437, -0.034200
-0.021437, -0.020279
-0.021437, 0.002440
-0.021437, 0.006048
-0.021437, 0.057967
-0.021437, 0.007395
-0.073012, 0.004645
-0.021437, -0.001196
-0.021437, -0.047210
-0.021437, -0.042957
-0.021437, -0.051082
-0.021437, -0.035117
-0.021437, 0.058376
-0.073012, 0.072228
-0.073012, -0.015709
-0.073012, -0.027383
-0.021437, -0.035773
-0.073012, 0.009010
-0.099606, 0.027680
-0.124588, 0.023991
-0.124588, 0.022307
-0.124588, 0.023296
-0.124588, 0.026305
-0.099606, 0.005199
-0.112500, 0.013000
-0.099606, 0.021143
-0.073012, -0.020248
-0.021437, -0.062330
-0.021437, -0.000765
-0.099606, 0.007482
-0.124588, 0.015592
-0.112500, 0.077109
-0.099606, -0.018669
-0.099606, -0.060819
-0.073012, -0.062930
-0.021437, -0.048408
-0.073012, -0.037301
0.003544, -0.015272
-0.021437, 0.032600
-0.021437, 0.023261
-0.021437, 0.014305
0.055925, 0.004325
0.030138, -0.057380
-0.021437, -0.019255
-0.021437, 0.071791
-0.021437, 0.063054
-0.124588, 0.075709
-0.173745, 0.040086
-0.124588, 0.032425
-0.124588, 0.025997
-0.021437, -0.028446
-0.021437, -0.031459
-0.021437, -0.086166
-0.021437, -0.034417
-0.122170, -0.008722
-0.124588, 0.016354
-0.073012, -0.083440
-0.021437, -0.026385
-0.073012, 0.028645
-0.122170, 0.031025
-0.176968, 0.010158
-0.176163, 0.014823
-0.073012, -0.004495
-0.021437, 0.002688
-0.099606, 0.006862
-0.118947, 0.010271
-0.124588, 0.015724
-0.124588, 0.044973
-0.112500, 0.048851
-0.072207, 0.027067
-0.021437, -0.123151
-0.021437, -0.118896
-0.021437, -0.063308
-0.092353, 0.041393
-0.124588, 0.044847
-0.170522, 0.047671
-0.124588, 0.051422
-0.122170, 0.057533
-0.099606, 0.010307
-0.124588, -0.037162
-0.124588, 0.015474
-0.176163, 0.019684
-0.202756, 0.020971
-0.202756, 0.023398
-0.173745, -0.026716
-0.124588, -0.045164
-0.124588, -0.050235
-0.123782, -0.076778
-0.072207, -0.052937
-0.021437, 0.024573
-0.073012, 0.023110
-0.021437, 0.019967
-0.020631, 0.020396
-0.021437, 0.017691
-0.021437, 0.015887
0.030138, -0.036199
-0.020631, 0.014527
-0.021437, 0.013331
0.030138, 0.015092
-0.021437, 0.016952
-0.099606, 0.019747
-0.124588, 0.024936
-0.099606, -0.022086
-0.073012, -0.016100
-0.099606, -0.010344
-0.124588, 0.047507
-0.124588, 0.003179
-0.112500, -0.016455
-0.112500, -0.035098
-0.021437, -0.029247
0.030138, -0.023063
-0.021437, -0.020731
-0.021437, 0.004765
-0.073012, -0.007275
-0.021437, 0.003931
-0.021437, 0.027895
-0.021437, 0.075564
0.030138, 0.071652
0.030138, -0.012271
-0.021437, -0.043121
-0.072207, -0.040032
-0.021437, -0.035972
-0.021437, -0.042991
-0.021437, -0.024233
-0.021437, 0.020797
-0.021437, -0.036667
0.080907, 0.036685
0.080907, 0.009932
0.055925, 0.006404
0.030138, 0.005409
0.055925, 0.082021
-0.021437, 0.057681
-0.021437, 0.009971
0.030138, 0.016158
0.080907, 0.023218
0.080907, -0.073662
0.055925, -0.117327
0.080907, -0.061534
0.055925, -0.055949
0.030138, 0.052247
0.030138, 0.055983
0.080907, 0.061120
0.080907, 0.065619
0.080907, -0.031545
0.081713, -0.034004
0.080907, 0.017887
0.055925, 0.070336
0.055925, 0.018524
0.080907, -0.031523
0.080907, -0.087113
0.030138, -0.088457
0.080907, 0.013048
0.106695, 0.065118
0.132482, -0.013296
0.132482, -0.032291
0.081713, -0.036914
0.080907, -0.035486
0.055925, -0.019477
0.030138, 0.021160
-0.021437, 0.074116
0.030138, 0.078260
0.055925, 0.086434
0.080907, 0.021409
0.030138, -0.005757
0.030138, -0.047952
-0.021437, 0.002589
-0.021437, 0.007260
0.030138, 0.031402
0.030138, 0.008447
0.055925, 0.008249
0.055925, -0.044679
0.055925, -0.074267
0.080907, -0.079158
0.030138, -0.056533
0.030138, -0.015204
0.055925, -0.022677
0.080907, -0.030019
0.055925, 0.014593
0.055925, 0.057185
0.080907, -0.001796
0.030138, 0.042608
0.030138, 0.035973
0.030138, 0.030760
0.030138, 0.025185
0.030138, 0.074138
-0.072207, 0.021301
-0.021437, 0.018962
-0.072207, 0.072732
-0.073012, 0.021657
-0.021437, -0.052423
-0.021437, -0.074443
-0.021437, -0.046641
0.030138, -0.016735
0.030138, -0.038212
0.055925, -0.060911
0.030138, -0.059082
-0.021437, -0.047287
-0.124588, -0.048213
-0.124588, 0.041358
-0.124588, 0.092181
-0.175357, 0.038295
-0.175357, 0.034177
-0.124588, -0.021019
-0.124588, 0.026140
-0.099606, 0.020829
-0.072207, 0.015849
-0.021437, 0.059850
-0.021437, 0.051867
-0.021437, -0.007961
-0.021437, -0.065989
-0.173745, -0.023260
-0.195503, -0.032034
-0.124588, -0.034480
-0.124588, -0.039307
-0.073012, -0.042596
-0.021437, 0.057288
0.030138, 0.054532
0.055925, 0.026486
0.030138, -0.000835
-0.072207, 0.022136
-0.072207, -0.059128
0.030138, -0.059826
0.055925, -0.007987
0.030138, 0.038782
0.080907, 0.033793
0.080907, 0.006917
0.030138, 0.027061
0.030138, -0.000507
0.055925, -0.028337
0.030138, -0.031664
0.030138, 0.016021
-0.073012, 0.010919
-0.021437, 0.005666
0.030138, 0.006054
0.055925, 0.004822
-0.021437, -0.022366
-0.021437, -0.025629
-0.021437, -0.001697
0.030138, -0.002590
-0.021437, -0.051102
0.030138, 0.002492
0.080907, 0.031491
0.106695, 0.059450
0.081713, 0.062026
0.106695, 0.013916
0.106695, 0.017135
0.106695, -0.004098
0.106695, -0.024732
0.106695, -0.072029
0.132482, -0.015792
0.184057, 0.013220
0.132482, 0.040727
0.132482, -0.010269
0.106695, -0.007745
0.081713, -0.058437
-0.021437, -0.057379
0.055925, -0.006036
0.093801, -0.003170
0.106695, 0.021680
0.080907, 0.020099
0.030138, 0.017824
0.080907, 0.041482
0.030138, -0.008691
-0.020631, -0.010758
-0.021437, 0.014025
-0.073012, 0.039043
-0.073012, 0.015300
-0.021437, 0.016092
-0.021437, 0.043409
-0.021437, -0.005765
-0.021437, -0.003337
-0.019020, -0.001016
0.080907, 0.004272
0.055925, 0.009324
0.030138, -0.090463
-0.021437, -0.033454
-0.021437, -0.078403
-0.021437, -0.073083
-0.073012, -0.015459
-0.021437, -0.007851
0.030138, 0.002856
-0.021437, 0.063046
0.030138, 0.070661
0.055925, 0.106289
0.080907, 0.089386
0.080907, 0.045961
0.055925, -0.048628
0.055925, -0.039323
0.030138, -0.032682
0.030138, -0.077476
-0.021437, -0.073685
-0.072207, -0.019797
-0.021437, -0.016753
0.030138, 0.010328
-0.021437, 0.037879
-0.021437, 0.086055
-0.072207, 0.082182
-0.072207, 0.074492
-0.073012, 0.068625
-0.021437, -0.091109
-0.021437, -0.121265
-0.073012, -0.060931
-0.073012, -0.072845
-0.021437, -0.029566
0.030138, 0.013389
-0.021437, 0.054779
-0.021437, 0.068871
0.030138, 0.035715
0.055925, -0.074895
0.055925, -0.082879
0.030138, 0.013681
-0.021437, 0.035518
0.030138, 0.007417
0.030138, 0.057373
-0.019020, 0.056729
0.030138, 0.006393
0.055925, 0.008585
0.080907, 0.035632
-0.021437, 0.012259
-0.112500, 0.012547
-0.073012, -0.088569
-0.021437, -0.033884
-0.099606, 0.018464
-0.021437, 0.042478
-0.020631, -0.035229
-0.073012, -0.039429
-0.073012, -0.044005
-0.021437, 0.001064
-0.021437, -0.056928
-0.021437, -0.013590
-0.099606, 0.028135
-0.099606, 0.043887
-0.073012, 0.009321
-0.021437, 0.025107
-0.020631, 0.016023
-0.019020, 0.006840
-0.073012, -0.002427
-0.099606, -0.009175
-0.073012, 0.013239
-0.021437, 0.064728
0.030138, 0.013430
0.055925, 0.016003
0.080907, -0.006393
0.030138, -0.026417
-0.021437, -0.122120
-0.021437, -0.035042
-0.073012, 0.014689
-0.021437, 0.040056
-0.070595, 0.028223
-0.021437, -0.009190
-0.021437, 0.055454
0.030138, 0.016355
0.080907, -0.021857
0.080907, -0.011976
0.080907, -0.055936
0.055925, -0.050305
0.080907, 0.006106
0.055925, 0.008252
-0.021437, 0.007147
-0.021437, 0.005028
0.030138, 0.005128
0.080907, 0.102432
0.055925, 0.069657
0.030138, 0.036420
0.030138, -0.023127
0.030138, -0.031305
0.080907, -0.037528
0.080907, -0.094476
0.055925, -0.049480
0.081713, -0.001379
0.106695, -0.054768
0.093801, -0.003516
0.080907, 0.022575
0.030138, 0.049324
0.030138, 0.050484
0.030138, 0.030041
0.080907, 0.036529
0.055925, 0.017306
0.080907, 0.022933
0.030138, -0.020217
0.055925, -0.064351
0.055925, -0.005346
0.055925, 0.052641
0.055925, 0.007870
0.030138, 0.012927
0.055925, -0.034734
0.080907, -0.030879
0.030138, -0.033657
0.055925, 0.013687
0.080907, 0.012526
0.080907, -0.043199
0.080907, -0.048128
0.030138, -0.001959
0.030138, 0.043769
-0.021437, -0.012936
-0.073012, -0.019377
-0.021437, 0.025178
0.055925, 0.045972
0.055925, 0.043420
0.030138, 0.014967
0.030138, -0.039471
0.030138, 0.012215
0.080907, 0.014093
0.080907, -0.032810
0.055925, 0.018520
0.080907, 0.049447
0.055925, 0.079978
0.080907, -0.015691
0.080907, -0.101176
0.055925, -0.055212
0.080907, 0.004303
0.080907, -0.064664
0.055925, 0.018920
0.055925, 0.025200
0.080907, -0.022129
0.106695, -0.016149
0.132482, 0.038061
0.106695, 0.040046
0.082519, 0.040919
0.132482, -0.036315
0.184057, -0.036903
0.184057, -0.012343
0.080907, 0.034887
0.030138, 0.029759
0.030138, 0.026879
0.055925, -0.031676
0.055925, -0.063216
0.055925, -0.040758
0.030138, 0.004877
-0.021437, 0.050426
-0.072207, 0.069930
0.030138, 0.090830
0.030138, 0.034947
-0.020631, -0.022147
0.030138, -0.025386
0.030138, -0.078887
-0.021437, -0.030987
-0.021437, -0.084915
-0.021437, -0.037118
0.055925, -0.038980
0.055925, 0.010203
0.030138, 0.057605
0.030138, 0.054020
0.080907, 0.051002
0.080907, 0.024708
0.055925, 0.046710
0.030138, 0.018459
0.055925, -0.061451
0.030138, -0.064443
-0.073012, -0.014753
-0.124588, 0.032954
-0.124588, 0.006224
-0.124588, -0.021764
-0.099606, -0.023739
-0.021437, -0.024218
-0.021437, 0.024462
-0.073012, 0.021413
-0.021437, -0.004065
-0.073012, 0.020174
-0.073012, 0.042918
-0.124588, 0.029927
-0.176163, 0.015900
-0.173745, -0.034703
-0.123782, -0.034196
-0.099606, -0.032980
-0.099606, 0.017653
-0.073012, -0.006810
-0.073012, 0.018614
-0.124588, -0.033561
-0.173745, -0.008006
-0.122170, -0.004998
-0.073012, -0.002316
-0.073012, -0.000031
-0.280119, -0.026028
-0.176163, -0.000189
-0.124588, 0.030905
-0.073818, -0.016240
-0.021437, 0.014308
-0.021437, 0.041672
-0.021437, 0.043323
-0.021437, 0.046147
0.030138, -0.000453
0.030138, 0.001983
-0.021437, -0.049537
-0.073012, -0.100457
-0.073012, -0.047841
-0.021437, 0.030486
-0.021437, 0.030380
-0.073012, 0.000590
-0.124588, -0.002996
-0.176968, -0.006464
-0.118947, 0.038869
0.030138, 0.036262
0.055925, 0.007533
-0.021437, 0.025897
-0.073012, -0.008151
-0.099606, 0.007211
-0.072207, -0.000303
0.030138, -0.028860
0.030138, -0.010211
0.030138, -0.015966
-0.021437, -0.044778
-0.073012, -0.049902
-0.099606, -0.028054
-0.092353, -0.001788
-0.073012, 0.025767
-0.021437, 0.003573
-0.073012, -0.017969
-0.021437, 0.035038
-0.021437, 0.093328
0.055925, 0.100631
0.030138, 0.005911
-0.021437, -0.038385
-0.021437, -0.031660
-0.021437, 0.001127
-0.020631, 0.008323
0.030138, 0.016202
-0.021437, -0.001744
-0.092353, -0.048535
-0.124588, -0.093910
-0.124588, 0.012728
-0.124588, 0.014969
-0.124588, -0.033510
-0.124588, 0.016876
-0.112500, 0.017795
-0.021437, -0.034799
-0.072207, -0.035074
-0.073012, -0.038514
-0.073012, 0.037882
