raw_audio, threshold
-14.604492, 99.272727
7.395508, 99.272727
0.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
-14.604492, 99.272727
7.395508, 99.272727
-12.604492, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
0.395508, 99.272727
14.395508, 99.272727
14.395508, 99.272727
7.395508, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
-12.604492, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
0.395508, 99.272727
14.395508, 99.272727
7.395508, 99.272727
0.395508, 99.272727
14.395508, 99.272727
23.395508, 99.272727
-14.604492, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
0.395508, 99.272727
14.395508, 99.272727
14.395508, 99.272727
14.395508, 99.272727
14.395508, 99.272727
14.395508, 99.272727
7.395508, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
0.395508, 99.272727
7.395508, 99.272727
-12.604492, 99.272727
0.395508, 99.272727
14.395508, 99.272727
11.395508, 99.272727
-12.604492, 99.272727
-12.604492, 99.272727
-12.604492, 99.272727
0.395508, 99.272727
7.395508, 99.272727
-14.604492, 99.272727
7.395508, 99.272727
0.395508, 99.272727
7.395508, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
0.395508, 99.272727
7.395508, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
0.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
-12.604492, 99.272727
-12.604492, 99.272727
7.395508, 99.272727
0.395508, 99.272727
7.395508, 99.272727
0.395508, 99.272727
7.395508, 99.272727
-14.604492, 99.272727
7.395508, 99.272727
7.395508, 99.272727
0.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
-12.604492, 99.272727
-12.604492, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
-12.604492, 99.272727
-14.604492, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
-12.604492, 99.272727
-14.604492, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
0.395508, 99.272727
14.395508, 99.272727
23.395508, 99.272727
-14.604492, 99.272727
-12.604492, 99.272727
-12.604492, 99.272727
-14.604492, 99.272727
0.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
0.395508, 99.272727
14.395508, 99.272727
19.395508, 99.272727
-14.604492, 99.272727
0.395508, 99.272727
14.395508, 99.272727
7.395508, 99.272727
-14.604492, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
0.395508, 99.272727
7.395508, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
7.395508, 99.272727
-14.604492, 99.272727
0.395508, 99.272727
14.395508, 99.272727
7.395508, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
-12.604492, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
-12.604492, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
7.395508, 99.272727
-12.604492, 99.272727
-14.604492, 99.272727
7.395508, 99.272727
7.395508, 99.272727
0.395508, 99.272727
14.395508, 99.272727
24.395508, 99.272727
-12.604492, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
7.395508, 99.272727
-14.604492, 99.272727
0.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
0.395508, 99.272727
23.395508, 99.272727
-14.604492, 99.272727
14.395508, 99.272727
23.395508, 99.272727
-14.604492, 99.272727
0.395508, 99.272727
11.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
7.395508, 99.272727
0.395508, 99.272727
0.395508, 99.272727
-14.604492, 99.272727
-14.604492, 99.272727
23.395508, 99.272727
49.395508, 99.272727
87.395508, 99.272727
49.395508, 99.272727
7.395508, 99.272727
-40.604492, 99.272727
-95.604492, 99.272727
-95.604492, 99.272727
-94.604492, 99.272727
-40.604492, 99.272727
7.395508, 99.272727
87.395508, 99.272727
88.395508, 99.272727
143.395508, 99.272727
88.395508, 99.272727
87.395508, 99.272727
0.395508, 99.272727
-40.604492, 99.272727
-95.604492, 99.272727
-177.604492, 99.272727
-104.604492, 99.272727
-95.604492, 99.272727
-39.604492, 99.272727
49.395508, 99.272727
88.395508, 99.272727
160.395508, 99.272727
160.395508, 99.272727
143.395508, 99.272727
49.395508, 99.272727
-14.604492, 99.272727
-94.604492, 99.272727
-177.604492, 99.272727
-177.604492, 99.272727
-95.604492, 99.272727
-93.604492, 99.272727
7.395508, 99.272727
51.395508, 99.272727
97.395508, 99.272727
143.395508, 99.272727
87.395508, 99.272727
24.395508, 99.272727
-39.604492, 99.272727
-39.604492, 99.272727
-40.604492, 99.272727
-40.604492, 99.272727
