filtered_data, frequency, frequency_magnitude, threshold
-479.696587, 0.000000, 2236.215957, 173.727273
-323.137938, 488.281250, 1195.152364, 173.727273
-231.092336, 976.562500, 1781.890154, 173.727273
-100.953152, 1464.843750, 2782.919299, 173.727273
-3.948210, 1953.125000, 743.393114, 173.727273
155.668797, 2441.406250, 3510.699087, 173.727273
155.080468, 2929.687500, 1189.025251, 173.727273
122.121666, 3417.968750, 3000.213943, 173.727273
92.256023, 3906.250000, 2172.145295, 173.727273
87.953332, 4394.531250, 1500.794491, 173.727273
181.560273, 4882.812500, 2356.341061, 173.727273
117.974706, 5371.093750, 982.164874, 173.727273
179.582454, 5859.375000, 1579.855521, 173.727273
241.423017, 6347.656250, 2751.921796, 173.727273
174.649533, 6835.937500, 459.700647, 173.727273
-16.359556, 7324.218750, 3732.371885, 173.727273
-225.623786, 7812.500000, 1747.787283, 173.727273
-368.734718, 8300.781250, 3433.222795, 173.727273
-452.744832, 8789.062500, 2809.333165, 173.727273
-454.078614, 9277.343750, 1922.452548, 173.727273
-316.290058, 9765.625000, 2793.940176, 173.727273
-113.956894, 10253.906250, 873.342999, 173.727273
86.297742, 10742.187500, 1575.492957, 173.727273
191.658506, 11230.468750, 2926.538521, 173.727273
294.582636, 11718.750000, 523.280839, 173.727273
426.991478, 12207.031250, 4316.458157, 173.727273
366.427915, 12695.312500, 2618.346054, 173.727273
301.786592, 13183.593750, 4258.221661, 173.727273
176.679168, 13671.875000, 3938.973089, 173.727273
112.313715, 14160.156250, 2642.927680, 173.727273
-14.509932, 14648.437500, 3777.168226, 173.727273
-41.618031, 15136.718750, 765.554504, 173.727273
-64.874605, 15625.000000, 2009.432253, 173.727273
-172.670807, 16113.281250, 3303.765900, 173.727273
-280.090998, 16601.562500, 1494.623215, 173.727273
-403.124543, 17089.843750, 6647.713763, 173.727273
-399.036640, 17578.125000, 5000.556652, 173.727273
-294.672885, 18066.406250, 6554.004959, 173.727273
-229.030885, 18554.687500, 6993.895242, 173.727273
-42.227118, 19042.968750, 5200.087233, 173.727273
212.432974, 19531.250000, 4653.907144, 173.727273
338.870610, 20019.531250, 1937.748837, 173.727273
469.651507, 20507.812500, 3722.686791, 173.727273
468.910818, 20996.093750, 12984.742307, 173.727273
338.401966, 21484.375000, 30522.509678, 173.727273
171.805284, 21972.656250, 19767.817553, 173.727273
-121.537915, 22460.937500, 22300.235912, 173.727273
-438.031025, 22949.218750, 7662.507943, 173.727273
-465.517332, 23437.500000, 15497.201830, 173.727273
-346.691167, 23925.781250, 31075.823432, 173.727273
-220.135753, 24414.062500, 15012.787370, 173.727273
-41.624675, 24902.343750, 10523.274158, 173.727273
264.213944, 25390.625000, 14309.950119, 173.727273
323.885837, 25878.906250, 12474.938807, 173.727273
384.003079, 26367.187500, 5680.055676, 173.727273
384.220839, 26855.468750, 21305.719167, 173.727273
248.232535, 27343.750000, 25117.524905, 173.727273
114.018519, 27832.031250, 4234.788615, 173.727273
-112.664156, 28320.312500, 9147.695239, 173.727273
-372.731914, 28808.593750, 12164.588260, 173.727273
-409.558455, 29296.875000, 12202.100860, 173.727273
-379.688247, 29785.156250, 14599.517127, 173.727273
-414.610961, 30273.437500, 13665.180068, 173.727273
-254.257281, 30761.718750, 18522.901718, 173.727273
-97.126045, 31250.000000, 18797.532158, 173.727273
92.444152, 31738.281250, 45749.037153, 173.727273
220.176755, 32226.562500, 13299.556964, 173.727273
252.526809, 32714.843750, 35442.565775, 173.727273
346.035757, 33203.125000, 14244.207025, 173.727273
258.611203, 33691.406250, 48485.414958, 173.727273
219.911555, 34179.687500, 41341.921205, 173.727273
93.702343, 34667.968750, 50607.206796, 173.727273
127.399596, 35156.250000, 34940.436246, 173.727273
98.711242, 35644.531250, 37061.071765, 173.727273
32.881373, 36132.812500, 51316.746053, 173.727273
-34.352938, 36621.093750, 37833.728059, 173.727273
-104.822780, 37109.375000, 24421.211170, 173.727273
-174.762472, 37597.656250, 5620.909674, 173.727273
-260.234818, 38085.937500, 21010.247755, 173.727273
-297.244721, 38574.218750, 35694.221122, 173.727273
-285.613228, 39062.500000, 15000.466098, 173.727273
-157.912574, 39550.781250, 18235.301186, 173.727273
-60.398326, 40039.062500, 34728.588207, 173.727273
3.778927, 40527.343750, 44600.471724, 173.727273
191.518831, 41015.625000, 18494.836796, 173.727273
314.087115, 41503.906250, 14060.157460, 173.727273
305.186397, 41992.187500, 51144.146828, 173.727273
177.715000, 42480.468750, 12485.713002, 173.727273
80.435736, 42968.750000, 15495.721192, 173.727273
-26.818937, 43457.031250, 6089.243436, 173.727273
-192.233478, 43945.312500, 17321.683684, 173.727273
-202.865260, 44433.593750, 29356.171504, 173.727273
-210.475186, 44921.875000, 24547.533662, 173.727273
-144.663652, 45410.156250, 14453.135672, 173.727273
-15.489475, 45898.437500, 33901.584552, 173.727273
-11.247520, 46386.718750, 20185.196022, 173.727273
249.867385, 46875.000000, 26747.672650, 173.727273
189.915426, 47363.281250, 34762.368319, 173.727273
132.648383, 47851.562500, 20356.387782, 173.727273
107.885790, 48339.843750, 12996.612889, 173.727273
83.703791, 48828.125000, 29053.544263, 173.727273
101.186829, 49316.406250, 77638.801040, 173.727273
92.429011, 49804.687500, 34239.334712, 173.727273
113.782333, 50292.968750, 23361.829774, 173.727273
-15.521112, 50781.250000, 6561.092051, 173.727273
-95.145137, 51269.531250, 19562.661674, 173.727273
-235.370269, 51757.812500, 20896.286741, 173.727273
-409.662546, 52246.093750, 21617.178470, 173.727273
-438.507947, 52734.375000, 15616.933422, 173.727273
-371.799920, 53222.656250, 12371.274323, 173.727273
-283.034886, 53710.937500, 7030.523730, 173.727273
-72.054067, 54199.218750, 4388.094325, 173.727273
137.361566, 54687.500000, 5324.055380, 173.727273
298.286156, 55175.781250, 15139.358691, 173.727273
442.722056, 55664.062500, 5857.196821, 173.727273
495.703883, 56152.343750, 11106.409462, 173.727273
477.418603, 56640.625000, 5882.869959, 173.727273
330.175150, 57128.906250, 6378.154366, 173.727273
12.684461, 57617.187500, 11574.852735, 173.727273
-113.594228, 58105.468750, 6452.070690, 173.727273
-118.290177, 58593.750000, 5076.973824, 173.727273
-125.332329, 59082.031250, 3045.600367, 173.727273
-166.401562, 59570.312500, 3105.032005, 173.727273
-117.462518, 60058.593750, 2840.508956, 173.727273
-64.312327, 60546.875000, 4626.724083, 173.727273
-64.031443, 61035.156250, 5413.552360, 173.727273
-128.727177, 61523.437500, 5024.389187, 173.727273
-155.233642, 62011.718750, 5394.295888, 173.727273
-192.862427, 62500.000000, 5794.982724, 173.727273
-263.334942, 62988.281250, 4691.856161, 173.727273
-324.998341, 63476.562500, 2287.966654, 173.727273
-211.165483, 63964.843750, 1683.895558, 173.727273
37.777403, 64453.125000, 2379.007837, 173.727273
193.703377, 64941.406250, 2514.458570, 173.727273
314.640888, 65429.687500, 3665.301237, 173.727273
407.881299, 65917.968750, 4119.299230, 173.727273
425.153195, 66406.250000, 6612.258133, 173.727273
376.854946, 66894.531250, 4852.784834, 173.727273
