filtered_data, frequency, frequency_magnitude, threshold
4.571873, 0.000000, 111.384646, 173.727273
-66.070006, 488.281250, 191.081838, 173.727273
120.455021, 976.562500, 114.852019, 173.727273
4.900010, 1464.843750, 185.991327, 173.727273
-13.473291, 1953.125000, 113.332188, 173.727273
49.615202, 2441.406250, 186.521483, 173.727273
-16.160020, 2929.687500, 115.348720, 173.727273
46.524572, 3417.968750, 187.925110, 173.727273
-18.954523, 3906.250000, 117.522625, 173.727273
-11.193399, 4394.531250, 187.685469, 173.727273
-19.897318, 4882.812500, 120.393428, 173.727273
-16.403457, 5371.093750, 191.099366, 173.727273
-15.867273, 5859.375000, 122.792696, 173.727273
-11.819682, 6347.656250, 190.761747, 173.727273
-9.269041, 6835.937500, 125.884432, 173.727273
-108.163478, 7324.218750, 192.934743, 173.727273
53.499992, 7812.500000, 130.471526, 173.727273
-4.777353, 8300.781250, 194.189415, 173.727273
-8.584516, 8789.062500, 136.021799, 173.727273
58.904452, 9277.343750, 195.347965, 173.727273
-3.612049, 9765.625000, 143.525420, 173.727273
-2.036315, 10253.906250, 198.116189, 173.727273
63.515312, 10742.187500, 152.741538, 173.727273
64.116310, 11230.468750, 199.594426, 173.727273
2.394346, 11718.750000, 163.572136, 173.727273
6.960236, 12207.031250, 199.194844, 173.727273
3.647019, 12695.312500, 179.052133, 173.727273
-58.607565, 13183.593750, 201.059684, 173.727273
-96.090330, 13671.875000, 197.685406, 173.727273
2.136002, 14160.156250, 202.850403, 173.727273
-1.474986, 14648.437500, 226.187961, 173.727273
1.604124, 15136.718750, 202.399986, 173.727273
7.589396, 15625.000000, 307.428351, 173.727273
1.456547, 16113.281250, 45.072897, 173.727273
16.183286, 16601.562500, 516.760529, 173.727273
0.343195, 17089.843750, 516.642343, 173.727273
0.886864, 17578.125000, 740.983307, 173.727273
-1.379742, 18066.406250, 1106.099739, 173.727273
1.356222, 18554.687500, 480.350233, 173.727273
2.702550, 19042.968750, 1400.016469, 173.727273
3.819849, 19531.250000, 1602.640632, 173.727273
4.646766, 20019.531250, 3552.747044, 173.727273
8.787596, 20507.812500, 6022.834363, 173.727273
9.864306, 20996.093750, 2713.381271, 173.727273
13.746902, 21484.375000, 939.355327, 173.727273
14.866789, 21972.656250, 2416.410193, 173.727273
-44.931799, 22460.937500, 4578.366712, 173.727273
17.035955, 22949.218750, 3327.854078, 173.727273
18.988439, 23437.500000, 4185.879225, 173.727273
19.887127, 23925.781250, 1795.622464, 173.727273
22.061476, 24414.062500, 3657.240980, 173.727273
22.028606, 24902.343750, 1103.344075, 173.727273
-72.921856, 25390.625000, 2089.436687, 173.727273
-72.196190, 25878.906250, 3173.616835, 173.727273
-42.148297, 26367.187500, 2226.076721, 173.727273
-37.211903, 26855.468750, 189.433948, 173.727273
20.225016, 27343.750000, 2903.818670, 173.727273
20.329700, 27832.031250, 3166.947785, 173.727273
81.705474, 28320.312500, 938.067790, 173.727273
23.389586, 28808.593750, 587.391669, 173.727273
77.338172, 29296.875000, 516.956992, 173.727273
-54.229585, 29785.156250, 246.797845, 173.727273
6.236954, 30273.437500, 2862.159756, 173.727273
-57.296677, 30761.718750, 3625.454865, 173.727273
-61.606113, 31250.000000, 4015.835615, 173.727273
-0.747655, 31738.281250, 5806.863135, 173.727273
61.700631, 32226.562500, 2961.218473, 173.727273
-4.246907, 32714.843750, 4513.809616, 173.727273
89.901272, 33203.125000, 1945.517419, 173.727273
52.591177, 33691.406250, 1002.575587, 173.727273
-10.408186, 34179.687500, 1772.787705, 173.727273
-75.527572, 34667.968750, 3398.445205, 173.727273
-12.587392, 35156.250000, 2730.377655, 173.727273
-77.553486, 35644.531250, 884.023236, 173.727273
-13.034515, 36132.812500, 1346.147544, 173.727273
-16.059492, 36621.093750, 35.642668, 173.727273
48.525334, 37109.375000, 212.345252, 173.727273
-8.914927, 37597.656250, 869.824844, 173.727273
-15.669192, 38085.937500, 694.100610, 173.727273
-16.171374, 38574.218750, 1889.633649, 173.727273
45.982421, 39062.500000, 1170.382270, 173.727273
47.836724, 39550.781250, 5702.082603, 173.727273
50.518339, 40039.062500, 4971.735578, 173.727273
-13.214930, 40527.343750, 99.639982, 173.727273
-13.915925, 41015.625000, 345.583994, 173.727273
-8.134487, 41503.906250, 8097.981172, 173.727273
-69.384897, 41992.187500, 3116.528430, 173.727273
-4.800240, 42480.468750, 4560.199884, 173.727273
-2.310141, 42968.750000, 1399.592388, 173.727273
-3.937611, 43457.031250, 1734.810063, 173.727273
0.671694, 43945.312500, 2550.635810, 173.727273
67.223583, 44433.593750, 2084.800291, 173.727273
4.901879, 44921.875000, 973.152399, 173.727273
14.803699, 45410.156250, 993.180044, 173.727273
13.950695, 45898.437500, 6201.947211, 173.727273
19.311338, 46386.718750, 4316.811639, 173.727273
-40.395528, 46875.000000, 68.195484, 173.727273
-37.750402, 47363.281250, 4293.896934, 173.727273
-101.883502, 47851.562500, 6384.774132, 173.727273
-37.366713, 48339.843750, 691.745213, 173.727273
-3.203035, 48828.125000, 8926.279876, 173.727273
35.958640, 49316.406250, 3582.609516, 173.727273
97.050003, 49804.687500, 5813.479715, 173.727273
94.276044, 50292.968750, 612.846900, 173.727273
33.638536, 50781.250000, 1616.605500, 173.727273
33.230957, 51269.531250, 573.233595, 173.727273
-34.241281, 51757.812500, 4182.457352, 173.727273
-68.800857, 52246.093750, 2687.592202, 173.727273
-38.140000, 52734.375000, 6715.956591, 173.727273
-75.224095, 53222.656250, 2908.331181, 173.727273
-42.132627, 53710.937500, 6481.360522, 173.727273
18.002559, 54199.218750, 878.630145, 173.727273
46.031164, 54687.500000, 7177.232756, 173.727273
9.020189, 55175.781250, 1751.466774, 173.727273
70.232197, 55664.062500, 3280.326411, 173.727273
1.501277, 56152.343750, 1589.440278, 173.727273
-4.173352, 56640.625000, 2133.060724, 173.727273
-5.331012, 57128.906250, 2442.562248, 173.727273
-72.638407, 57617.187500, 666.384830, 173.727273
-8.745137, 58105.468750, 1741.778848, 173.727273
-11.600050, 58593.750000, 2022.310389, 173.727273
-11.084193, 59082.031250, 7067.947171, 173.727273
52.055745, 59570.312500, 3252.813993, 173.727273
52.346538, 60058.593750, 3733.080727, 173.727273
53.014262, 60546.875000, 1374.489766, 173.727273
-10.051940, 61035.156250, 468.646218, 173.727273
-8.739875, 61523.437500, 1561.522961, 173.727273
-5.490085, 62011.718750, 2885.074205, 173.727273
-2.416631, 62500.000000, 3157.096161, 173.727273
-96.052550, 62988.281250, 303.609954, 173.727273
5.621279, 63476.562500, 652.310232, 173.727273
-50.527218, 63964.843750, 4833.116073, 173.727273
14.899767, 64453.125000, 3864.796526, 173.727273
20.740143, 64941.406250, 936.961504, 173.727273
87.281417, 65429.687500, 283.349109, 173.727273
28.200831, 65917.968750, 3312.209607, 173.727273
30.327833, 66406.250000, 4427.272996, 173.727273
-26.338210, 66894.531250, 869.265056, 173.727273
-27.361200, 67382.812500, 4635.058857, 173.727273
-54.679220, 67871.093750, 4020.206611, 173.727273
-52.910726, 68359.375000, 1635.563668, 173.727273
-18.313906, 68847.656250, 3866.748180, 173.727273
-48.575317, 69335.937500, 2323.828518, 173.727273
-11.492000, 69824.218750, 1038.198264, 173.727273
50.235836, 70312.500000, 975.100643, 173.727273
49.463520, 70800.781250, 1983.431686, 173.727273
50.067808, 71289.062500, 1854.788347, 173.727273
48.464202, 71777.343750, 2026.909204, 173.727273
48.256018, 72265.625000, 846.072837, 173.727273
43.750828, 72753.906250, 65.013967, 173.727273
-23.714324, 73242.187500, 132.448457, 173.727273
-26.815181, 73730.468750, 2003.127019, 173.727273
-31.713422, 74218.750000, 1417.288956, 173.727273
-68.331770, 74707.031250, 1816.936024, 173.727273
-34.915731, 75195.312500, 300.004482, 173.727273
24.128136, 75683.593750, 1285.860167, 173.727273
23.026286, 76171.875000, 1965.760503, 173.727273
21.640567, 76660.156250, 2265.017146, 173.727273
-46.298718, 77148.437500, 762.628843, 173.727273
-50.098735, 77636.718750, 3016.908954, 173.727273
-83.929313, 78125.000000, 784.065785, 173.727273
9.026576, 78613.281250, 1522.313900, 173.727273
9.761556, 79101.562500, 342.928404, 173.727273
73.633925, 79589.843750, 3192.089804, 173.727273
76.116251, 80078.125000, 1185.878679, 173.727273
11.976950, 80566.406250, 2095.201630, 173.727273
77.242713, 81054.687500, 2354.532224, 173.727273
16.695280, 81542.968750, 1800.791868, 173.727273
21.674137, 82031.250000, 1539.047940, 173.727273
-88.515494, 82519.531250, 1713.011837, 173.727273
-84.456137, 83007.812500, 1629.377547, 173.727273
-65.545049, 83496.093750, 2395.455731, 173.727273
-26.517259, 83984.375000, 2590.733805, 173.727273
36.138128, 84472.656250, 561.897344, 173.727273
39.169372, 84960.937500, 1496.785102, 173.727273
106.999066, 85449.218750, 13.161233, 173.727273
51.741143, 85937.500000, 1027.012204, 173.727273
47.929035, 86425.781250, 1985.056287, 173.727273
-12.176993, 86914.062500, 1835.257943, 173.727273
-60.036496, 87402.343750, 117.239380, 173.727273
-134.113120, 87890.625000, 656.660647, 173.727273
-61.648952, 88378.906250, 1102.761190, 173.727273
-48.719802, 88867.187500, 1675.305695, 173.727273
