filtered_data, frequency, frequency_magnitude, threshold
295.050100, 0.000000, 825.376291, 173.727273
292.965492, 488.281250, 101.448340, 173.727273
103.455487, 976.562500, 833.996192, 173.727273
-208.806940, 1464.843750, 102.740246, 173.727273
-305.523126, 1953.125000, 835.790191, 173.727273
-334.123021, 2441.406250, 101.852715, 173.727273
-198.511242, 2929.687500, 835.161475, 173.727273
-81.763267, 3417.968750, 102.412834, 173.727273
-19.269233, 3906.250000, 834.223548, 173.727273
190.421004, 4394.531250, 107.967335, 173.727273
409.227388, 4882.812500, 829.981527, 173.727273
406.021533, 5371.093750, 111.619512, 173.727273
152.771426, 5859.375000, 830.218099, 173.727273
-82.174066, 6347.656250, 113.200622, 173.727273
-217.785430, 6835.937500, 827.619147, 173.727273
-341.219651, 7324.218750, 121.663594, 173.727273
-393.192303, 7812.500000, 820.205059, 173.727273
-204.844660, 8300.781250, 130.594861, 173.727273
51.806774, 8789.062500, 814.920412, 173.727273
235.584219, 9277.343750, 136.579217, 173.727273
296.053161, 9765.625000, 810.416036, 173.727273
293.383360, 10253.906250, 148.036986, 173.727273
292.157856, 10742.187500, 796.997946, 173.727273
165.405698, 11230.468750, 164.605770, 173.727273
-138.613085, 11718.750000, 781.575696, 173.727273
-315.255441, 12207.031250, 180.631172, 173.727273
-383.623174, 12695.312500, 761.061982, 173.727273
-298.000781, 13183.593750, 208.017955, 173.727273
-138.046696, 13671.875000, 723.694937, 173.727273
44.527910, 14160.156250, 243.795168, 173.727273
179.030420, 14648.437500, 673.166828, 173.727273
281.988359, 15136.718750, 311.650579, 173.727273
212.605677, 15625.000000, 547.851076, 173.727273
147.784404, 16113.281250, 583.706195, 173.727273
90.673537, 16601.562500, 251.373506, 173.727273
-96.840620, 17089.843750, 1350.752174, 173.727273
-221.915947, 17578.125000, 840.352612, 173.727273
-287.394262, 18066.406250, 478.845488, 173.727273
-162.276551, 18554.687500, 49.809806, 173.727273
25.662819, 19042.968750, 418.092541, 173.727273
145.228266, 19531.250000, 451.676296, 173.727273
270.393238, 20019.531250, 3484.223921, 173.727273
267.942570, 20507.812500, 3883.016226, 173.727273
115.306249, 20996.093750, 4286.228932, 173.727273
-70.507589, 21484.375000, 6950.584398, 173.727273
-157.530292, 21972.656250, 3633.970945, 173.727273
-267.753935, 22460.937500, 6436.100245, 173.727273
