index, value
0, 2476
1, 2459
2, 2479
3, 2477
4, 2486
5, 2477
6, 2479
7, 2477
8, 2479
9, 2467
10, 2477
11, 2479
12, 2477
13, 2477
14, 2478
15, 2476
16, 2476
17, 2470
18, 2476
19, 2476
20, 2476
21, 2470
22, 2476
23, 2470
24, 2470
25, 2476
26, 2470
27, 2476
28, 2470
29, 2470
30, 2470
31, 2476
32, 2470
33, 2467
34, 2470
35, 2476
36, 2470
37, 2470
38, 2470
39, 2470
40, 2470
41, 2465
42, 2459
43, 2467
44, 2467
45, 2470
46, 2470
47, 2470
48, 2470
49, 2467
50, 2470
51, 2470
52, 2459
53, 2470
54, 2470
55, 2470
56, 2470
57, 2470
58, 2470
59, 2470
60, 2470
61, 2470
62, 2470
63, 2470
64, 2470
65, 2470
66, 2470
67, 2470
68, 2470
69, 2470
70, 2470
71, 2467
72, 2467
73, 2459
74, 2470
75, 2470
76, 2467
77, 2470
78, 2470
79, 2470
80, 2470
81, 2467
82, 2467
83, 2470
84, 2470
85, 2470
86, 2467
87, 2467
88, 2467
89, 2467
90, 2470
91, 2467
92, 2467
93, 2470
94, 2470
95, 2470
96, 2467
97, 2470
98, 2470
99, 2470
100, 2470
101, 2470
102, 2465
103, 2470
104, 2470
105, 2459
106, 2462
107, 2459
108, 2467
109, 2467
110, 2467
111, 2470
112, 2470
113, 2459
114, 2467
115, 2467
116, 2467
117, 2470
118, 2470
119, 2467
120, 2467
121, 2470
122, 2470
123, 2470
124, 2467
125, 2470
126, 2467
127, 2457
128, 2467
129, 2470
130, 2467
131, 2470
132, 2467
133, 2467
134, 2467
135, 2470
136, 2470
137, 2459
138, 2467
139, 2467
140, 2467
141, 2470
142, 2459
143, 2470
144, 2470
145, 2470
146, 2470
147, 2470
148, 2470
149, 2470
150, 2456
151, 2459
152, 2465
153, 2459
154, 2470
155, 2467
156, 2467
157, 2467
158, 2470
159, 2470
160, 2467
161, 2467
162, 2470
163, 2470
164, 2470
165, 2467
166, 2467
167, 2470
168, 2470
169, 2461
170, 2470
171, 2467
172, 2467
173, 2467
174, 2467
175, 2470
176, 2465
177, 2465
178, 2467
179, 2467
180, 2470
181, 2467
182, 2467
183, 2467
184, 2467
185, 2470
186, 2467
187, 2465
188, 2470
189, 2470
190, 2470
191, 2467
192, 2467
193, 2467
194, 2470
195, 2470
196, 2470
197, 2467
198, 2467
