raw_audio, filtered_data, frequency, frequency_magnitude, frequency_magnitude, threshold
2281.797363, 12.954356, 0.000000, 2097.045346, 0.000000, 992.727273
2297.797363, 41.160118, 244.140625, 2137.498838, 97296.937224, 992.727273
-1667.202637, -8.226775, 488.281250, 2092.142718, 82026.447190, 992.727273
-1667.202637, -62.114983, 732.421875, 2081.144455, 99208.781919, 992.727273
-1667.202637, -24.991661, 976.562500, 2122.041133, 34064.179329, 992.727273
-1667.202637, -22.410637, 1220.703125, 2121.566773, 86097.099319, 992.727273
-1667.202637, -10.329025, 1464.843750, 2116.066338, 44737.889167, 992.727273
-1667.202637, -3.685201, 1708.984375, 2145.309660, 78395.298385, 992.727273
-1667.202637, 2.974648, 1953.125000, 2135.345979, 143867.627706, 992.727273
-1667.202637, 7.953677, 2197.265625, 2084.653656, 62382.065898, 992.727273
-1667.202637, 11.978356, 2441.406250, 2183.398503, 85246.609647, 992.727273
-1667.202637, 14.874111, 2685.546875, 2112.257798, 160919.850537, 992.727273
-1667.202637, 16.740113, 2929.687500, 2120.630337, 82169.900175, 992.727273
-1667.202637, 17.562375, 3173.828125, 2193.482653, 97975.497591, 992.727273
-1667.202637, 17.365804, 3417.968750, 2180.452186, 183554.685047, 992.727273
-1667.202637, 16.171417, 3662.109375, 2228.430183, 152944.456096, 992.727273
-1667.202637, 14.014098, 3906.250000, 2220.057381, 211730.312553, 992.727273
-1667.202637, 10.983401, 4150.390625, 2532.057657, 665559.913357, 992.727273
-1667.202637, 7.205328, 4394.531250, 2144.556079, 504232.541939, 992.727273
-1667.202637, 2.825708, 4638.671875, 2435.682039, 990770.282184, 992.727273
-1667.202637, -1.954985, 4882.812500, 1740.649297, 1900075.429486, 992.727273
-1667.202637, -6.871390, 5126.953125, 2484.625531, 483337.965883, 992.727273
-1667.202637, -11.680163, 5371.093750, 2141.575953, 114989.389483, 992.727273
-1667.202637, -16.111257, 5615.234375, 2201.610503, 562024.389300, 992.727273
-1667.202637, -19.892747, 5859.375000, 2237.637120, 206053.621635, 992.727273
-1667.202637, -22.760685, 6103.515625, 2254.733887, 87334.907917, 992.727273
-1667.202637, -24.480026, 6347.656250, 2241.471750, 213939.043692, 992.727273
-1667.202637, -24.882736, 6591.796875, 2341.916061, 94381.154169, 992.727273
-1667.202637, -23.868139, 6835.937500, 2295.855519, 116135.132244, 992.727273
-1667.202637, -21.388866, 7080.078125, 2327.655444, 100332.185823, 992.727273
-1667.202637, -17.499116, 7324.218750, 2461.096524, 74529.127392, 992.727273
-1667.202637, -12.326258, 7568.359375, 2400.146033, 69308.331572, 992.727273
-1667.202637, -6.090716, 7812.500000, 2443.808150, 68624.704078, 992.727273
-1667.202637, 0.897962, 8056.640625, 2486.235594, 63030.288019, 992.727273
-1667.202637, 8.281328, 8300.781250, 2500.714350, 22430.943882, 992.727273
-1667.202637, 15.647794, 8544.921875, 2531.469609, 60767.246918, 992.727273
-1667.202637, 22.552062, 8789.062500, 2586.493744, 111906.219893, 992.727273
-1667.202637, 28.551951, 9033.203125, 2595.901277, 134494.148327, 992.727273
-1667.202637, 33.220618, 9277.343750, 2741.254394, 137392.307023, 992.727273
-1667.202637, 36.192412, 9521.484375, 2479.733095, 342800.999621, 992.727273
-1667.202637, 37.168765, 9765.625000, 2682.447012, 153451.805126, 992.727273
-1667.202637, 35.949802, 10009.765625, 2728.290443, 101395.584731, 992.727273
-1667.202637, 32.454602, 10253.906250, 2783.177680, 42085.096802, 992.727273
-1667.202637, 26.734019, 10498.046875, 2835.027272, 177961.608931, 992.727273
-1667.202637, 18.969175, 10742.187500, 2879.016464, 175239.284151, 992.727273
-1667.202637, 9.479115, 10986.328125, 2877.012488, 45189.606290, 992.727273
-1667.202637, -1.301276, 11230.468750, 3049.028044, 149213.157734, 992.727273
-1667.202637, -12.813160, 11474.609375, 2993.193771, 133759.315064, 992.727273
-1667.202637, -24.435240, 11718.750000, 3083.740048, 11742.836879, 992.727273
-1667.202637, -35.471314, 11962.890625, 3158.324467, 58302.230566, 992.727273
-1667.202637, -45.245198, 12207.031250, 3205.679048, 34922.295786, 992.727273
-1667.202637, -53.068416, 12451.171875, 3267.875923, 124853.562837, 992.727273
-1667.202637, -58.342894, 12695.312500, 3377.717437, 91752.063479, 992.727273
-1667.202637, -60.555691, 12939.453125, 3379.976379, 94597.154354, 992.727273
-790.202637, -54.378878, 13183.593750, 3468.177557, 231622.237857, 992.727273
2282.797363, -21.320656, 13427.734375, 3605.747669, 136230.363739, 992.727273
2345.797363, 14.890247, 13671.875000, 3814.444173, 384433.492169, 992.727273
2345.797363, -10.864729, 13916.015625, 3787.313222, 188535.909864, 992.727273
2281.797363, -7.554578, 14160.156250, 3837.441523, 198859.629691, 992.727273
2281.797363, -6.932421, 14404.296875, 4251.187550, 341035.862085, 992.727273
2282.797363, 2.442210, 14648.437500, 4160.298588, 75549.033915, 992.727273
2282.797363, 13.468029, 14892.578125, 4358.400218, 46341.308341, 992.727273
2281.797363, 26.912771, 15136.718750, 4326.028627, 181502.611988, 992.727273
2281.797363, 40.781528, 15380.859375, 4711.690298, 10224.989789, 992.727273
2281.797363, 54.113209, 15625.000000, 5244.485988, 37891.766252, 992.727273
2282.797363, 65.570226, 15869.140625, 5088.122140, 113371.372551, 992.727273
2345.797363, 74.481879, 16113.281250, 5333.146679, 2859.527640, 992.727273
2282.797363, 79.543120, 16357.421875, 7003.982048, 31155.271162, 992.727273
2281.797363, 78.015541, 16601.562500, 10070.862876, 107299.642285, 992.727273
2282.797363, 73.467492, 16845.703125, 8323.448584, 36451.637826, 992.727273
2345.797363, 63.096925, 17089.843750, 7258.460840, 15199.738984, 992.727273
2281.797363, 47.582534, 17333.984375, 18924.716006, 89136.267622, 992.727273
2281.797363, 24.925651, 17578.125000, 12462.911989, 48748.057919, 992.727273
2282.797363, -0.006224, 17822.265625, 17539.542702, 54415.659260, 992.727273
2282.797363, -29.197901, 18066.406250, 38967.276678, 135242.054006, 992.727273
2345.797363, -60.055411, 18310.546875, 49987.386313, 133647.359389, 992.727273
2281.797363, -91.646432, 18554.687500, 79836.695633, 213059.701207, 992.727273
2281.797363, -124.134003, 18798.828125, 68186.818283, 137069.684123, 992.727273
2282.797363, -151.550002, 19042.968750, 32918.897117, 82885.330557, 992.727273
2345.797363, -174.319618, 19287.109375, 64010.757920, 104446.307333, 992.727273
2281.797363, -189.710256, 19531.250000, 37324.573738, 74768.716955, 992.727273
2281.797363, -198.058723, 19775.390625, 58964.344523, 80981.870966, 992.727273
2282.797363, -193.254250, 20019.531250, 112119.491452, 144233.980401, 992.727273
2282.797363, -176.542593, 20263.671875, 61865.731633, 95571.367609, 992.727273
2345.797363, -145.078964, 20507.812500, 42281.680032, 49471.983608, 992.727273
2281.797363, -98.477151, 20751.953125, 86797.685288, 98518.161429, 992.727273
2281.797363, -38.067718, 20996.093750, 29944.523882, 45231.463112, 992.727273
2282.797363, 40.461840, 21240.234375, 31646.472010, 55498.974264, 992.727273
2345.797363, 134.171893, 21484.375000, 34545.395698, 59475.384109, 992.727273
2281.797363, 2524.553488, 21728.515625, 63332.030834, 37493.236232, 992.727273
2281.797363, 2660.363328, 21972.656250, 82630.251952, 99022.933450, 992.727273
2282.797363, -1171.274315, 22216.796875, 58346.017140, 73083.274159, 992.727273
2282.797363, -1029.795828, 22460.937500, 131103.995238, 101196.213508, 992.727273
2282.797363, -881.884232, 22705.078125, 89284.374946, 91731.184149, 992.727273
2281.797363, -730.890961, 22949.218750, 111463.931969, 88694.437933, 992.727273
2282.797363, -580.077597, 23193.359375, 173824.277606, 187185.551211, 992.727273
2282.797363, -432.783044, 23437.500000, 82268.372569, 105107.221769, 992.727273
2282.797363, -292.348180, 23681.640625, 74945.775068, 97338.200068, 992.727273
2281.797363, -162.034290, 23925.781250, 48051.649412, 56585.985848, 992.727273
2281.797363, -44.795613, 24169.921875, 19008.652756, 38052.853205, 992.727273
2282.797363, 56.882882, 24414.062500, 38460.986034, 56329.287052, 992.727273
2345.797363, 141.314994, 24658.203125, 39777.261025, 41015.929203, 992.727273
-1667.202637, 184.283752, 24902.343750, 3740.690989, 10611.391725, 992.727273
-1667.202637, 179.090572, 25146.484375, 26537.964511, 40294.314369, 992.727273
-1667.202637, 251.430968, 25390.625000, 60979.727278, 58606.612431, 992.727273
-1667.202637, 265.031674, 25634.765625, 11390.668620, 10179.010849, 992.727273
-1667.202637, 269.319294, 25878.906250, 34308.607359, 45623.469127, 992.727273
-1667.202637, 250.046311, 26123.046875, 86077.735514, 84576.506434, 992.727273
