raw_audio, filtered_data, frequency, frequency_magnitude, frequency_magnitude, threshold
2217.707520, -77.568522, 17089.843750, 7677.425648, 29026.212064, 992.727273
2218.707520, -96.718148, 17333.984375, 11171.915189, 31952.687460, 992.727273
2281.707520, -112.309092, 17578.125000, 19677.472136, 60826.436909, 992.727273
2217.707520, -123.301965, 17822.265625, 18517.123709, 96772.627466, 992.727273
2217.707520, -130.314949, 18066.406250, 17007.344707, 89024.408671, 992.727273
2218.707520, -127.943465, 18310.546875, 59014.729433, 206495.250777, 992.727273
2218.707520, -117.997299, 18554.687500, 128105.052042, 318895.557163, 992.727273
2218.707520, -98.458795, 18798.828125, 58226.377204, 149944.048209, 992.727273
2217.707520, -68.883317, 19042.968750, 40046.632672, 59375.808692, 992.727273
2218.707520, -28.643008, 19287.109375, 5144.738844, 17313.619256, 992.727273
2218.707520, 22.521842, 19531.250000, 41413.648374, 48840.952773, 992.727273
2218.707520, 84.553521, 19775.390625, 28848.662561, 38687.920288, 992.727273
2217.707520, 157.219553, 20019.531250, 22754.818596, 37365.587369, 992.727273
2217.707520, 239.955072, 20263.671875, 30525.260909, 27039.327241, 992.727273
2218.707520, 331.947563, 20507.812500, 16394.721906, 26222.564061, 992.727273
2218.707520, 432.140628, 20751.953125, 30713.207621, 27203.864682, 992.727273
2218.707520, 539.266783, 20996.093750, 18860.423223, 21635.272480, 992.727273
2217.707520, 651.893187, 21240.234375, 27114.591211, 27281.119333, 992.727273
2217.707520, 768.485676, 21484.375000, 39259.367272, 38546.067385, 992.727273
2218.707520, -843.843724, 21728.515625, 21322.224829, 19607.629276, 992.727273
2218.707520, -724.279897, 21972.656250, 35382.073639, 37174.814680, 992.727273
2217.707520, -605.834356, 22216.796875, 57522.476858, 49631.035568, 992.727273
2217.707520, -490.153912, 22460.937500, 78413.815603, 80902.145350, 992.727273
2218.707520, -378.873913, 22705.078125, 86225.921702, 88212.244411, 992.727273
2218.707520, -273.572582, 22949.218750, 138181.728210, 146285.587375, 992.727273
2218.707520, -175.668410, 23193.359375, 167238.940209, 166179.122076, 992.727273
2217.707520, -86.448248, 23437.500000, 82160.036037, 95742.813782, 992.727273
2218.707520, -7.024554, 23681.640625, 57350.308063, 51140.686518, 992.727273
2218.707520, 61.724214, 23925.781250, 46072.577691, 31667.772360, 992.727273
2281.707520, 119.395437, 24169.921875, 47336.643360, 29447.250128, 992.727273
2217.707520, 165.230933, 24414.062500, 27253.240335, 23089.242418, 992.727273
2217.707520, 196.957481, 24658.203125, 3612.004056, 22954.929367, 992.727273
2218.707520, 218.653840, 24902.343750, 23890.515201, 31761.654575, 992.727273
2281.707520, 228.054766, 25146.484375, 43642.250540, 27808.621992, 992.727273
2217.707520, 226.299970, 25390.625000, 39808.360097, 16459.945723, 992.727273
-1731.292480, 189.447246, 25634.765625, 36218.891820, 15255.689245, 992.727273
-1731.292480, 118.887370, 25878.906250, 27510.627015, 32635.821717, 992.727273
-1731.292480, 134.671859, 26123.046875, 33908.309894, 50416.162800, 992.727273
-1731.292480, 105.321165, 26367.187500, 40246.635466, 24973.154562, 992.727273
-1731.292480, 79.370441, 26611.328125, 29223.430015, 22916.724446, 992.727273
-1731.292480, 42.909191, 26855.468750, 87224.913530, 60041.120479, 992.727273
-1731.292480, 3.789884, 27099.609375, 114878.570982, 121033.222607, 992.727273
-1731.292480, -37.704570, 27343.750000, 152842.249089, 165829.175486, 992.727273
-1731.292480, -78.665756, 27587.890625, 196502.784041, 211354.939966, 992.727273
-1731.292480, -117.179441, 27832.031250, 185741.053064, 171620.464218, 992.727273
-1731.292480, -151.173130, 28076.171875, 110011.243066, 127675.892339, 992.727273
-1731.292480, -178.768683, 28320.312500, 88203.470968, 73883.971128, 992.727273
-1731.292480, -198.404839, 28564.453125, 28852.188375, 8318.742057, 992.727273
-1731.292480, -208.661371, 28808.593750, 54679.717231, 38723.701458, 992.727273
-1731.292480, -208.614573, 29052.734375, 40072.464986, 33115.028182, 992.727273
-1731.292480, -197.584484, 29296.875000, 19540.686167, 35117.861070, 992.727273
-1731.292480, -175.441003, 29541.015625, 34467.070496, 20193.517708, 992.727273
-1731.292480, -142.482594, 29785.156250, 5134.784375, 14422.061475, 992.727273
-1731.292480, -99.536711, 30029.296875, 34862.428337, 23971.553965, 992.727273
-1731.292480, -47.961061, 30273.437500, 21017.372493, 18852.144975, 992.727273
-1731.292480, 10.369751, 30517.578125, 9938.055804, 16550.611438, 992.727273
-1731.292480, 73.037981, 30761.718750, 20941.960652, 16716.107529, 992.727273
-1731.292480, 137.186616, 31005.859375, 12728.682160, 16592.910022, 992.727273
-1731.292480, 199.560044, 31250.000000, 29712.696180, 25181.320289, 992.727273
-1731.292480, 256.542654, 31494.140625, 20788.372656, 24679.154446, 992.727273
-1731.292480, 304.343953, 31738.281250, 29680.882296, 26834.291608, 992.727273
-1731.292480, 339.050526, 31982.421875, 45279.985709, 46983.212738, 992.727273
-1731.292480, 356.781292, 32226.562500, 42075.955596, 39891.765521, 992.727273
-1731.292480, 353.896677, 32470.703125, 29674.546328, 25798.683657, 992.727273
-1731.292480, 326.965693, 32714.843750, 13310.433921, 18730.172694, 992.727273
-1731.292480, 273.135713, 32958.984375, 13937.937857, 15806.291510, 992.727273
-1731.292480, 190.167221, 33203.125000, 25566.558028, 20112.919748, 992.727273
-1731.292480, 76.526058, 33447.265625, 28507.195620, 17780.990061, 992.727273
-1731.292480, -68.490651, 33691.406250, 11137.368813, 8518.933871, 992.727273
-1731.292480, -244.709082, 33935.546875, 10793.347030, 3540.246761, 992.727273
-1731.292480, -450.928680, 34179.687500, 11003.638579, 24245.306068, 992.727273
-1731.292480, -684.942430, 34423.828125, 33783.205707, 25415.744995, 992.727273
-1731.292480, -943.687148, 34667.968750, 25542.264860, 9848.720160, 992.727273
-1731.292480, -1223.195857, 34912.109375, 18202.234530, 1218.064417, 992.727273
