raw_audio, threshold
7.060547, 99.272727
-14.939453, 99.272727
-12.939453, 99.272727
-12.939453, 99.272727
7.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
0.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
0.060547, 99.272727
7.060547, 99.272727
-14.939453, 99.272727
-14.939453, 99.272727
7.060547, 99.272727
-14.939453, 99.272727
-12.939453, 99.272727
-14.939453, 99.272727
-14.939453, 99.272727
7.060547, 99.272727
7.060547, 99.272727
0.060547, 99.272727
7.060547, 99.272727
0.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
0.060547, 99.272727
7.060547, 99.272727
0.060547, 99.272727
14.060547, 99.272727
14.060547, 99.272727
14.060547, 99.272727
7.060547, 99.272727
-14.939453, 99.272727
-14.939453, 99.272727
-12.939453, 99.272727
-14.939453, 99.272727
0.060547, 99.272727
14.060547, 99.272727
7.060547, 99.272727
0.060547, 99.272727
7.060547, 99.272727
-14.939453, 99.272727
-14.939453, 99.272727
7.060547, 99.272727
0.060547, 99.272727
0.060547, 99.272727
0.060547, 99.272727
7.060547, 99.272727
0.060547, 99.272727
14.060547, 99.272727
14.060547, 99.272727
23.060547, 99.272727
-14.939453, 99.272727
7.060547, 99.272727
0.060547, 99.272727
7.060547, 99.272727
-14.939453, 99.272727
-14.939453, 99.272727
-14.939453, 99.272727
-12.939453, 99.272727
-14.939453, 99.272727
-14.939453, 99.272727
0.060547, 99.272727
7.060547, 99.272727
0.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
0.060547, 99.272727
7.060547, 99.272727
-14.939453, 99.272727
0.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
11.060547, 99.272727
14.060547, 99.272727
24.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
0.060547, 99.272727
7.060547, 99.272727
0.060547, 99.272727
7.060547, 99.272727
-14.939453, 99.272727
7.060547, 99.272727
0.060547, 99.272727
7.060547, 99.272727
-14.939453, 99.272727
-14.939453, 99.272727
7.060547, 99.272727
-12.939453, 99.272727
-14.939453, 99.272727
-12.939453, 99.272727
-12.939453, 99.272727
0.060547, 99.272727
23.060547, 99.272727
-12.939453, 99.272727
11.060547, 99.272727
14.060547, 99.272727
19.060547, 99.272727
-14.939453, 99.272727
11.060547, 99.272727
7.060547, 99.272727
-14.939453, 99.272727
0.060547, 99.272727
0.060547, 99.272727
-12.939453, 99.272727
-14.939453, 99.272727
-14.939453, 99.272727
7.060547, 99.272727
-12.939453, 99.272727
0.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
-12.939453, 99.272727
-14.939453, 99.272727
-14.939453, 99.272727
-12.939453, 99.272727
-14.939453, 99.272727
7.060547, 99.272727
-14.939453, 99.272727
0.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
-14.939453, 99.272727
-12.939453, 99.272727
0.060547, 99.272727
7.060547, 99.272727
-14.939453, 99.272727
-12.939453, 99.272727
-12.939453, 99.272727
-14.939453, 99.272727
-14.939453, 99.272727
-14.939453, 99.272727
-12.939453, 99.272727
0.060547, 99.272727
7.060547, 99.272727
-14.939453, 99.272727
0.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
14.060547, 99.272727
23.060547, 99.272727
-12.939453, 99.272727
7.060547, 99.272727
7.060547, 99.272727
14.060547, 99.272727
23.060547, 99.272727
-14.939453, 99.272727
0.060547, 99.272727
7.060547, 99.272727
-14.939453, 99.272727
0.060547, 99.272727
19.060547, 99.272727
-14.939453, 99.272727
0.060547, 99.272727
7.060547, 99.272727
-14.939453, 99.272727
7.060547, 99.272727
0.060547, 99.272727
7.060547, 99.272727
-14.939453, 99.272727
7.060547, 99.272727
7.060547, 99.272727
14.060547, 99.272727
24.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
-12.939453, 99.272727
-14.939453, 99.272727
0.060547, 99.272727
7.060547, 99.272727
-14.939453, 99.272727
0.060547, 99.272727
14.060547, 99.272727
14.060547, 99.272727
7.060547, 99.272727
-14.939453, 99.272727
-14.939453, 99.272727
7.060547, 99.272727
7.060547, 99.272727
0.060547, 99.272727
0.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
19.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
7.060547, 99.272727
88.060547, 99.272727
143.060547, 99.272727
87.060547, 99.272727
49.060547, 99.272727
49.060547, 99.272727
49.060547, 99.272727
33.060547, 99.272727
