index, value, filtered
399, -35, 0
400, -35, 0
401, -35, -1
402, -35, -1
403, -29, -1
404, -28, -1
405, -25, -2
406, -22, 9
407, -25, -2
408, -19, -2
409, -17, -2
410, -17, -2
411, -17, -2
412, -12, -2
413, -12, -2
414, -12, 8
415, -12, 10
416, -12, -4
417, -12, -5
418, -12, 5
419, -12, 5
420, -12, 4
421, -12, 2
422, -12, 1
423, -12, 0
424, -12, -1
425, -12, -2
426, -12, -3
427, -12, -4
428, -12, -4
429, -12, -5
430, -12, -4
431, -12, -4
432, -12, -4
433, -12, -3
434, -12, -2
435, -12, 0
436, -12, 0
437, -12, 1
438, -12, 3
439, -12, 4
440, -12, 4
441, -12, 12
442, -12, 11
443, -17, 11
444, -17, 2
445, -17, 8
446, -17, 5
447, -17, 2
448, -17, 0
449, -17, -3
450, -19, -7
451, -19, -10
452, -12, -10
453, -19, -10
454, 10, -18
455, 10, -18
456, -12, -13
457, -19, -13
458, 10, -11
459, 10, -7
460, -19, -3
461, -19, 2
462, -19, 9
463, -21, 17
464, -21, 26
465, 10, 37
466, -21, 47
467, -21, 57
468, -21, 68
469, -21, 34
470, -21, -69
471, -21, -60
472, -21, -51
473, -21, -44
474, -21, -38
475, -21, -33
476, -21, -30
477, -21, -29
478, -21, 22
479, -21, 20
480, -21, 17
481, -35, 14
482, -19, 27
483, -4, 22
484, -3, 28
485, -3, 22
486, 12, 15
487, 14, 9
488, 14, 3
489, 14, -2
490, 27, -7
491, 27, -11
492, 26, -9
493, 27, -12
494, 26, -11
495, 28, -9
496, 28, -13
497, 27, -7
498, 26, -5
499, 28, -4
500, 27, -4
501, 28, 1
502, 27, 3
503, 27, 4
504, 14, 5
505, 14, 5
506, 14, 5
507, 26, 6
508, 27, 6
509, 14, 5
510, 14, 4
511, 14, 3
512, 14, 2
513, 14, 0
514, 14, 0
515, 14, -1
516, 14, -2
517, 14, -3
518, 14, -3
519, 14, -4
520, 14, -4
521, 14, -3
522, 14, -3
523, 14, -2
